Sample Number,Condition,Timestamp
PC 0142/2025,30ul,2026-08-17 10:47:16
PC 0143/2025,30ul,2026-08-17 10:47:47
PC 0144/2025,30ul,2026-08-17 10:48:40
PC 0145/2025,50ul,2026-08-17 10:49:01
PC 0146/2025,20ul,2026-08-17 10:49:18
PC 0147/2025,15ul,2026-08-17 10:49:38
PC 0148/2025,15ul,2026-08-17 10:49:59
PC 0149/2025,15ul,2026-08-17 10:50:22
PC 0149/2025,60ul,2026-08-17 10:50:56
PC 0150/2025,50ul,2026-08-17 10:51:25
PC 0151/2025,<15ul,2026-08-17 10:51:51
PC 0152/2025,<15ul,2026-08-17 10:52:19
PC 0153/2025,25ul,2026-08-17 10:52:44
PC 0154/2025,<15ul,2026-08-17 10:53:02
PC 0155/2025,25ul,2026-08-17 10:53:15
PC 0156/2025,<5ul,2026-08-17 10:53:40
PC 0157/2025,<20ul,2026-08-17 10:54:09
PC 0158/2025,50ul but dark artifact,2026-08-17 10:59:45
PC 0159/2025,25ul,2026-08-17 11:01:05
PC 0160/2025,20ul,2026-08-17 11:01:23
PC 0161/2025,15ul,2026-08-17 11:01:36
PC 0162/2025,<10ul,2026-08-17 11:01:49
PC 0163/2025,40ul,2026-08-17 11:02:05
PC 0164/2025,20ul,2026-08-17 11:02:23
PC 0165/2025,25ul,2026-08-17 11:02:41
PC 0166/2025,15ul,2026-08-17 11:03:10
PC 0167/2025,30ul,2026-08-17 11:03:27
PC 0168/2025,<10ul,2026-08-17 11:03:45
PC 0169/2025,<15ul,2026-08-17 11:04:01
PC 0170/2025,30ul,2026-08-17 11:04:13
PC 0171/2025,<15ul,2026-08-17 11:04:30
PC 0172/2025,30ul,2026-08-17 11:04:46
PC 0173/2025,60ul,2026-08-17 11:05:11
PC 0174/2025,20ul,2026-08-17 11:05:28
PC 0175/2025,20ul,2026-08-17 11:05:38
PC 0176/2025,DNA is black <10ul,2026-08-17 11:06:09
PC 0177/2025,30ul,2026-08-17 11:06:29
PC 0178/2025,<10ul,2026-08-17 11:06:43
PC 0179/2025,30ul,2026-08-17 11:06:57
PC 0180/2025,50ul brown hue,2026-08-17 11:07:18
PC 0181/2025,30ul,2026-08-17 11:07:30
PC 0182/2025,25ul,2026-08-17 11:07:43
PC 0183/2025,60ul a bit dark bottom,2026-08-17 11:08:04
PC 0184/2025,30ul,2026-08-17 11:08:22
PC 0185/2025,30ul,2026-08-17 11:08:38
PC 0186/2025,30ul,2026-08-17 11:08:48
PC 0187/2025,70ul a bit brown at bottom,2026-08-17 11:09:14
PC 0188/2025,solution brown with black on bottom 60ul,2026-08-17 11:09:45
PC 0189/2025,30ul,2026-08-17 11:10:00
